seed_key,telescope_configuration_seed_key,camera_seed_key,filter_wheel_seed_key,name,description,notes
# Smart telescopes only. Their optics, camera and filter changer are
# fixed and inseparable, so the rig is the product rather than something the
# user assembles — there is nothing here a user could have chosen differently.
# Ordinary rigs are user-owned and never seeded.
#
# No mount, focuser, OAG, guide scope or computer: these are self-contained and
# do not guide. The DWARF II has no internal filter changer (its filters are
# external 1.25" accessories), so it gets no filter wheel.
rig.zwo.seestar_s50,telescope_configuration.zwo.seestar_s50.native,camera.zwo.seestar_s50_imager,filter_wheel.zwo.seestar_internal,Seestar S50,ZWO Seestar S50 smart telescope,Seeded rig. 250mm focal length and 2.9um pixels give roughly 2.4 arcsec/px over a 1.29 x 0.73 degree field. Internal changer holds UV/IR-cut duo-band and an opaque dark position.
rig.zwo.seestar_s30,telescope_configuration.zwo.seestar_s30.native,camera.zwo.seestar_s30_imager,filter_wheel.zwo.seestar_internal,Seestar S30,ZWO Seestar S30 smart telescope,Seeded rig. 150mm focal length and 2.9um pixels give roughly 4.0 arcsec/px over a 2.46 degree diagonal field.
rig.zwo.seestar_s30_pro,telescope_configuration.zwo.seestar_s30_pro.native,camera.zwo.seestar_s30_pro_imager,filter_wheel.zwo.seestar_internal,Seestar S30 Pro,ZWO Seestar S30 Pro smart telescope,Seeded rig. 160mm focal length and 2.9um pixels give roughly 3.7 arcsec/px over a 4.6 degree diagonal field. Same aperture as the S30 but four times the sensor area.
rig.dwarflab.dwarf_mini,telescope_configuration.dwarflab.dwarf_mini.native,camera.dwarflab.dwarf_mini_imager,filter_wheel.dwarflab.internal,DWARF mini,DwarfLab DWARF mini smart telescope,Seeded rig. Roughly 4 arcsec/px over a 2.46 x 1.2 degree field. Writes no IMAGETYP to its FITS headers — ingest classifies its frames from on-sky header evidence and the filename instead.
rig.dwarflab.dwarf_ii,telescope_configuration.dwarflab.dwarf_ii.native,camera.dwarflab.dwarf_ii_imager,,DWARF II,DwarfLab DWARF II smart telescope,Seeded rig. 1.45um pixels at 100mm give roughly 3.0 arcsec/px. No internal filter changer — DWARF II filters are external 1.25 inch accessories fitted with an adapter.
rig.zwo.seestar_s50_pro,telescope_configuration.zwo.seestar_s50_pro.native,camera.zwo.seestar_s50_pro_imager,filter_wheel.zwo.seestar_internal,Seestar S50 Pro,ZWO Seestar S50 Pro smart telescope,Seeded rig. 260mm and 2.9um pixels give roughly 2.3 arcsec/px over a 2.8 degree diagonal field. Same 3-position changer as the rest of the Seestar line. Its imager is an OmniVision OS08B10 rather than a Sony.
rig.celestron.origin,telescope_configuration.celestron.origin.native,camera.celestron.origin_imager,,Celestron Origin,Celestron Origin smart observatory,Seeded rig for the original #12099 with the IMX178 camera. f/2.2 RASA at 335mm gives roughly 1.48 arcsec/px. No filter wheel: the Origin has a drawer taking 1.25 or 2 inch filters the user supplies.
rig.celestron.origin_mk2,telescope_configuration.celestron.origin.native,camera.celestron.origin_mk2_imager,,Celestron Origin Mark II,Celestron Origin Mark II smart observatory,Seeded rig for the Mark II with the IMX678 camera; same RASA optics as the original. 2.0um pixels give roughly 1.23 arcsec/px over a 1.32 x 0.75 degree field.
rig.unistellar.evscope_2,telescope_configuration.unistellar.evscope_2.native,camera.unistellar.evscope_2_imager,,Unistellar eVscope 2,Unistellar eVscope 2 smart telescope,Seeded rig. 450mm and 2.9um pixels give roughly 1.33 arcsec/px over 45.6 x 34.2 arcmin. No filters: Unistellar's light-pollution reduction is processing rather than glass; the solar filter is an accessory.
rig.unistellar.equinox_2,telescope_configuration.unistellar.equinox_2.native,camera.unistellar.equinox_2_imager,,Unistellar eQuinox 2,Unistellar eQuinox 2 smart telescope,Seeded rig. Optically identical to the eVscope 2; the difference is the eyepiece; which does not affect imaging.
rig.unistellar.odyssey,telescope_configuration.unistellar.odyssey.native,camera.unistellar.odyssey_imager,,Unistellar Odyssey,Unistellar Odyssey smart telescope,Seeded rig. 320mm and 1.45um pixels give roughly 0.93 arcsec/px over 45 x 33.6 arcmin.
rig.unistellar.odyssey_pro,telescope_configuration.unistellar.odyssey_pro.native,camera.unistellar.odyssey_imager,,Unistellar Odyssey Pro,Unistellar Odyssey Pro smart telescope,Seeded rig. Same optics and imager as the Odyssey plus an eyepiece.
