seed_key,manufacturer_seed_key,optical_design_seed_key,aperture_mm,image_circle_mm,model_name,notes,obstruction_pct,weight_kg,source_url
telescope.celestron.edgehd_800,manufacturer.celestron,optical_design.sct,203.2,28.0,EdgeHD 800,8" aplanatic flat-field SCT with integrated field-flattening corrector; StarBright XLT coatings; Fastar compatible (removable secondary for f/2 imaging with HyperStar); mirror clutches and tube cooling vents; 133mm native backfocus from rear cell thread; SCT 2"-24 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail,,6.35,https://www.celestron.com/products/edgehd-800-optical-tube-assembly-cge-dovetail
telescope.celestron.edgehd_925,manufacturer.celestron,optical_design.sct,235.0,42.0,EdgeHD 925,9.25" aplanatic flat-field SCT with integrated field-flattening corrector; StarBright XLT coatings; Fastar compatible; mirror clutches and tube cooling vents; 146mm native backfocus from rear cell thread; large SCT 3.25"-16 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail,36.0,,https://www.celestron.com/products/edgehd-925-optical-tube-assembly-cge-dovetail
telescope.celestron.edgehd_1100,manufacturer.celestron,optical_design.sct,279.4,42.0,EdgeHD 1100,11" aplanatic flat-field SCT with integrated field-flattening corrector; StarBright XLT coatings; Fastar compatible; mirror clutches and tube cooling vents; 146mm native backfocus from rear cell thread; large SCT 3.25"-16 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail; approximately 12.7kg (28 lbs) per Celestron,,12.7,https://www.celestron.com/products/edgehd-11-optical-tube-assembly-cge-dovetail
telescope.celestron.edgehd_1400,manufacturer.celestron,optical_design.sct,356.0,42.0,EdgeHD 1400,14" aplanatic flat-field SCT with integrated field-flattening corrector; f/11 native (not f/10 like smaller models); StarBright XLT coatings; Fastar compatible; mirror clutches and tube cooling vents; 146mm native backfocus from rear cell thread; large SCT 3.25"-16 UNC rear thread; weight includes finder/diagonal/eyepiece/CGE dovetail;,,,https://www.celestron.com/products/edgehd-14-optical-tube-assembly-cge-dovetail
# --- RASA ---
telescope.celestron.rasa_8,manufacturer.celestron,optical_design.rasa,203.0,22.0,RASA 8,8" f/2 Rowe-Ackermann Schmidt Astrograph; imaging only (no visual use); camera mounts at FRONT of telescope in prime focus position; 4-element rare-earth lens group plus Schmidt corrector plus primary mirror; 22mm optimized image circle with usable field extending to 32mm (APS-C); central obstruction from front lens assembly is 93mm diameter; 29mm backfocus from threaded collar (25mm with included M42 adapter); Ultra-Stable Focus System (USFS); integrated air-cooling system; includes M42 and C-thread camera adapters; StarBright XLT coatings on refractive elements; enhanced aluminum on primary mirror,46.0,7.7,https://www.celestron.com/products/8-rowe-ackermann-schmidt-astrograph-rasa-8-optical-tube-assembly-cge-dovetail
telescope.celestron.rasa_11_v2,manufacturer.celestron,optical_design.rasa,279.0,43.3,RASA 11 V2,11" f/2.2 Rowe-Ackermann Schmidt Astrograph V2; imaging only (no visual use); camera mounts at FRONT of telescope in prime focus position; 4-element rare-earth lens group plus Schmidt corrector plus primary mirror; 43.3mm optimized image circle with usable field extending to 52mm (full-frame+); 55mm backfocus from included camera adapters; Ultra-Stable Focus System (USFS) with precision ball bearings; integrated 12V DC MagLev cooling fan; includes T-thread (M42) and M48 camera adapters; compatible with Celestron Focus Motor #94155-A; StarBright XLT coatings;,,,https://www.celestron.com/products/11-rowe-ackermann-schmidt-astrograph-rasa-11-v2-optical-tube-assembly-cge-dovetail
# --- Classic SCTs ---
telescope.celestron.c6,manufacturer.celestron,optical_design.sct,150.0,,C6,6" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; 133mm backfocus from rear SCT thread; Fastar/HyperStar compatible (f/2 with accessory); standard SCT 2"-24 UNC rear thread; includes 25mm eyepiece and 6x30 finder; CG-5 (Vixen) dovetail; no field curvature corrector (classic SCT design); smallest Celestron SCT compatible with Fastar,,4.5,https://www.celestron.com/products/c6-optical-tube-assembly-cg-5-dovetail
telescope.celestron.c8,manufacturer.celestron,optical_design.sct,203.2,,C8,8" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; 133mm backfocus from rear SCT thread; Fastar compatible; standard SCT 2"-24 UNC rear thread; the original Celestron workhorse SCT since 1970; available with CG-5 (Vixen) dovetail (#91020-XLT) or CGE (Losmandy) dovetail (#91024-XLT); includes 25mm eyepiece and 6x30 finder; no field curvature corrector (classic SCT design);,,,https://www.celestron.com/products/c8-optical-tube-assembly-cg-5-dovetail
